EmployeeID,Wages,Overtime,Additional,Total
251010258630,282928.08,5289.56,156259.61,444477.25
431003754347,348058.88,0.0,94704.22,442763.1
012515773613,282933.34,9171.6,146068.1,438173.04
017998759976,265610.32,1490.59,113377.99,380478.9
035435571934,270450.48,15199.72,90624.56,376274.76
961049480885,343643.04,0.0,8176.5,351819.54
002703862586,50925.29,0.0,298581.42,349506.71
092378711644,282928.08,0.0,61358.3,344286.38
007861175226,326712.14,314.46,13561.08,340587.68
711015540545,337220.8,0.0,0.0,337220.8
052380160242,330806.0,0.0,6286.05,337092.05
025935640358,323605.36,0.0,7835.5,331440.86
032709945730,311386.32,3734.6,4691.92,319812.84
053861407435,313647.36,0.0,0.0,313647.36
049766956289,306541.97,0.0,0.0,306541.97
050426289115,304230.8,0.0,0.0,304230.8
931020157879,257106.5,0.0,41357.5,298464.0
094667250207,291684.88,0.0,0.0,291684.88
067978923362,276171.55,0.0,0.0,276171.55
044804439469,253116.24,0.0,22111.86,275228.1
063806650878,269847.38,0.0,4877.38,274724.76
039823299617,269730.89,0.0,0.0,269730.89
043734556689,256355.14,0.0,4822.08,261177.22
067531057548,236700.26,0.0,21869.43,258569.69
065748011530,253116.24,0.0,0.0,253116.24
000689073610,253116.24,0.0,0.0,253116.24
095854588830,237615.04,714.69,14784.59,253114.32
061353302009,224070.32,243.62,26257.92,250571.86
008474049491,200558.36,5352.05,44613.66,250524.07
075862318815,237615.04,0.0,7629.14,245244.18
068461868617,237565.72,0.0,4558.05,242123.77
261050153798,232001.6,0.0,7500.0,239501.6
068840846097,237615.05,0.0,0.0,237615.05
006845353636,237615.05,0.0,0.0,237615.05
019456643088,237565.72,0.0,0.0,237565.72
731005695132,235496.94,0.0,0.0,235496.94
018688420322,227586.58,0.0,4261.6,231848.18
062367775923,130894.78,0.0,96212.65,227107.43
048891191769,220539.02,0.0,4130.88,224669.9
024681999076,224551.18,0.0,0.0,224551.18
021627473051,117767.04,63756.42,41912.81,223436.27
087498520430,215277.92,0.0,6031.5,221309.42
401004539735,120385.56,0.0,99532.26,219917.82
081012235842,214958.8,0.0,0.0,214958.8
050503129456,213259.23,0.0,0.0,213259.23
036816591305,111779.61,0.0,100932.16,212711.77
018897564744,207687.84,0.0,3906.64,211594.48
098964739596,207234.89,0.0,3970.78,211205.67
033978262720,208776.41,0.0,0.0,208776.41
013461218408,135601.02,5105.33,67776.31,208482.66
095811162529,139002.9,0.0,66498.28,205501.18
291052245836,157869.53,47122.3,0.0,204991.83
077983525642,204853.42,0.0,0.0,204853.42
591031986947,203678.1,0.0,0.0,203678.1
060552015597,199825.7,0.0,3693.79,203519.49
095738729415,120182.9,42781.26,40103.11,203067.27
014389901154,202460.48,0.0,0.0,202460.48
008805372361,196876.16,0.0,5101.5,201977.66
006987685623,200444.22,0.0,0.0,200444.22
087995551600,198965.17,0.0,0.0,198965.17
006908009262,194670.93,0.0,3255.75,197926.68
003627632719,191085.37,0.0,5000.0,196085.37
063669046216,192619.21,0.0,3321.68,195940.89
029629982055,192103.91,0.0,3573.94,195677.85
039846704027,163217.4,31406.05,285.0,194908.45
049683975540,190009.56,0.0,2912.6,192922.16
076668597666,188960.15,0.0,3530.8,192490.95
045418260373,189277.92,0.0,2985.5,192263.42
024669793132,190963.32,0.0,0.0,190963.32
001542883155,190699.08,0.0,0.0,190699.08
090435695053,186552.39,0.0,3524.98,190077.37
951007582353,186343.19,0.0,3570.5,189913.69
008732612551,189544.78,0.0,0.0,189544.78
581018539493,185803.31,0.0,3560.13,189363.44
054736560350,184466.12,0.0,3534.51,188000.63
411011347121,187624.91,0.0,0.0,187624.91
251011544067,163681.95,23635.22,0.0,187317.17
044723936820,0.0,0.0,187311.42,187311.42
121040827267,186963.92,0.0,0.0,186963.92
034800888731,182499.57,0.0,4311.5,186811.07
092714648682,182499.52,0.0,4311.5,186811.02
611015984266,182525.84,0.0,3497.33,186023.17
047844998680,185984.17,0.0,0.0,185984.17
025855194311,73240.49,0.0,111870.07,185110.56
111010407294,184964.69,0.0,0.0,184964.69
094983474803,181255.21,0.0,3472.98,184728.19
009352450578,180330.93,0.0,4205.0,184535.93
092571821055,180330.88,0.0,4205.0,184535.88
016439114461,112043.36,0.0,71414.85,183458.21
058671880078,183074.97,0.0,0.0,183074.97
085615565942,72361.33,0.0,110694.9,183056.23
040643368199,182499.54,0.0,0.0,182499.54
028471867799,110628.49,0.0,71750.35,182378.84
221022085143,178767.32,0.0,3448.28,182215.6
036641109998,172381.68,9763.41,0.0,182145.09
014960324419,181682.89,0.0,0.0,181682.89
090740893345,181223.22,0.0,0.0,181223.22
033373539007,181076.74,0.0,0.0,181076.74
211045255514,101129.92,0.0,79035.78,180165.7
081024191896,175420.96,0.0,4600.0,180020.96
065797230424,168833.01,11157.86,0.0,179990.87
036456533580,179974.05,0.0,0.0,179974.05
025456424046,179974.03,0.0,0.0,179974.03
048731041551,166552.36,13301.79,0.0,179854.15
821045620437,159100.28,18601.34,2069.91,179771.53
241003548733,176762.26,0.0,2655.99,179418.25
009849719230,178536.8,0.0,500.0,179036.8
081590780356,174966.49,0.0,3352.5,178318.99
078953636345,177950.21,0.0,100.0,178050.21
030668821979,174650.81,0.0,3270.63,177921.44
067617619931,161500.01,16298.62,0.0,177798.63
093738391528,174249.45,0.0,2503.8,176753.25
049760935115,139117.15,1905.47,35319.98,176342.6
028571070512,172269.95,0.0,3307.25,175577.2
065806967477,175285.7,0.0,0.0,175285.7
021959282122,171967.18,0.0,3295.02,175262.2
054421332659,175175.68,0.0,0.0,175175.68
004571215651,141103.09,2459.39,31589.48,175151.96
025515301135,101640.28,5281.2,67707.61,174629.09
017522133048,171967.18,0.0,2636.02,174603.2
042466375610,171319.13,0.0,3282.6,174601.73
